tag_id,asset_id,brand_name,tag_name,tag_type,confidence,detection_id,video_url,download_link,start_time_stamp,end_time_stamp,start_frame,end_frame,publication_date,title,description,views,comments,likes,shares,created_at,social_media,publication_year
01GPKKZP52KNSH7KS2H7HA5H51,01GE2B9H0EETATP9CTASJZKCZ2,Kenra US,latino,FACE,0.944899,01GPKKZP52W8TN3JBT03N71053,https://www.tiktok.com/@kenraprofessional/video/7138181465224940846,j_l8kc8f4p2peu45lccf.f1646070790a8204022e31bf42ef78d3ef7ad21d.file_l8kccfeq1f79x37jyk.S3_link_of_the_video.mp4,00:00:00,00:00:08,0,200,2022-08-31 23:09:47,kenraprofessional,"@Cynthia Dhimdis shows how she achieves effortless, shiny hair using #kenraprofessional Blow-Dry Spray   #kenra #blowout #cutehairstyle #kenrapartner #itscorn #blowouttutorial",306,1,16,0,2022-09-27 15:26:01.040918,TikTok,2022
01GPKM036G27W8RPZPSHFFNVAG,01GE2B9H0GQCB4KSNSYFSXD7Q9,Kenra US,white,FACE,0.915806,01GPKM036GC3R4VA8A6KFNCNZN,https://www.tiktok.com/@kenraprofessional/video/7134820883167759658,j_l8kc8f4p2peu45lccf.82e6ad76b1b51ffc878f0a1973aec52d92355b6f.file_l8kcci8l1e7ia7cqwx.S3_link_of_the_video.mp4,00:00:00,00:00:12,0,300,2022-08-22 21:49:01,kenraprofessional,Recreating the most iconic curls with @haleyodegard using #kenra Volume Spray 25  #kenraprofessional #WorldPrincessWeek #waves #hairtok,453,0,19,0,2022-09-27 15:26:01.287016,TikTok,2022
01GPKM0H732DP5YBSPN841PB46,01GE2B9H0J1S4DVDZAK3MEJ4QX,Kenra US,asian,FACE,0.881797,01GPKM0H73A8NPPA59PJ5QJPK7,https://www.tiktok.com/@kenraprofessional/video/7132217432193748270,j_l8kc8f4p2peu45lccf.51464f9058b92d5639585f61d716758932155c74.file_l8kcfx2p20nao68lug.S3_link_of_the_video.mp4,00:00:26,00:00:26,650,650,2022-08-15 21:26:17,kenraprofessional,Sleek Ponytail by @lizethh.gomez using #kenra Texturizing Taffy 13  #kenraprofessional #ReTokforNature #hair #hairtok #slickedbun #slickedhairstyle,371,1,16,0,2022-09-27 15:26:01.819988,TikTok,2022
01GPKM0H73D429Z4NG594J6RXD,01GE2B9H0J1S4DVDZAK3MEJ4QX,Kenra US,white,FACE,0.912043,01GPKM0H73NBX7J63NCR4JMNTT,https://www.tiktok.com/@kenraprofessional/video/7132217432193748270,j_l8kc8f4p2peu45lccf.51464f9058b92d5639585f61d716758932155c74.file_l8kcfx2p20nao68lug.S3_link_of_the_video.mp4,00:00:27,00:00:27,675,675,2022-08-15 21:26:17,kenraprofessional,Sleek Ponytail by @lizethh.gomez using #kenra Texturizing Taffy 13  #kenraprofessional #ReTokforNature #hair #hairtok #slickedbun #slickedhairstyle,371,1,16,0,2022-09-27 15:26:01.819988,TikTok,2022
01GPKM0H74GVTMAXZTJXQY8CNK,01GE2B9H0J1S4DVDZAK3MEJ4QX,Kenra US,latino,FACE,0.888033,01GPKM0H74NF9YK2MK2GANREBN,https://www.tiktok.com/@kenraprofessional/video/7132217432193748270,j_l8kc8f4p2peu45lccf.51464f9058b92d5639585f61d716758932155c74.file_l8kcfx2p20nao68lug.S3_link_of_the_video.mp4,00:00:51,00:00:51,1275,1275,2022-08-15 21:26:17,kenraprofessional,Sleek Ponytail by @lizethh.gomez using #kenra Texturizing Taffy 13  #kenraprofessional #ReTokforNature #hair #hairtok #slickedbun #slickedhairstyle,371,1,16,0,2022-09-27 15:26:01.819988,TikTok,2022
01GPKM0H8YGZ73EC5ZVTDTNCTX,01GE2B9H0J1S4DVDZAK3MEJ4QX,Kenra US,middle eastern,FACE,0.923414,01GPKM0H8YRFK00F7WN1CFXW0A,https://www.tiktok.com/@kenraprofessional/video/7132217432193748270,j_l8kc8f4p2peu45lccf.51464f9058b92d5639585f61d716758932155c74.file_l8kcfx2p20nao68lug.S3_link_of_the_video.mp4,00:01:30,00:01:30,2250,2250,2022-08-15 21:26:17,kenraprofessional,Sleek Ponytail by @lizethh.gomez using #kenra Texturizing Taffy 13  #kenraprofessional #ReTokforNature #hair #hairtok #slickedbun #slickedhairstyle,371,1,16,0,2022-09-27 15:26:01.819988,TikTok,2022
01GPKKZH9CH7WD4280BTVCR2SN,01GE2B9H0QJVHQPXEA4ZHRMBNQ,Kenra US,asian,FACE,0.867367,01GPKKZH9C8ABM3YJPK8EDJFPN,https://www.tiktok.com/@kenraprofessional/video/7129644123946011946,j_l8kc8f4p2peu45lccf.5b15313dd8d84a080d06714a5163d218bfdcd179.file_l8kcch0b1jtzbe6snb.S3_link_of_the_video.mp4,00:00:00,00:00:04,0,100,2022-08-08 23:00:32,kenraprofessional,Face framing pieces using a straightener by @IAMCATHERINE  #kenra #kenraprofessional #hairtok #hairtutorial #curls #beautytok,1960,2,96,1,2022-09-27 15:26:02.363295,TikTok,2022
01GPKM00FVT7ZG08JMAPZDS9PG,01GE2B9H0V3JV3Z4H762JFFXSR,Kenra US,asian,FACE,0.919173,01GPKM00FVA8ATGHKRDR2PHM8K,https://www.tiktok.com/@kenraprofessional/video/7125117168399830315,j_l8kc8f4p2peu45lccf.cfea7493b2d8852843d80140daa00b04bfbef67d.file_l8kccfql529yk4jyr.S3_link_of_the_video.mp4,00:00:00,00:00:22,0,550,2022-07-27 18:13:40,kenraprofessional,Good hair days with @ashereena ft. #kenra Pearl Detangler + Blow-Dry Spray   #kenraprofessional #kenrapartner #hair#loveagoodhairday #blowout,910,0,25,1,2022-09-27 15:26:02.867977,TikTok,2022
01GPKM0BY182G5KM0QR04YED13,01GE2B9H0ZGS31VG6NJQYKSKS5,Kenra US,white,FACE,0.852075,01GPKM0BY0BA5EKFKR3CQH2V59,https://www.tiktok.com/@kenraprofessional/video/7123247947554327854,j_l8kc8f4p2peu45lccf.ef5ed39826e0c537c5ded24d4e5b5e0bf2119411.file_l8kcgwletarur1i7x.S3_link_of_the_video.mp4,00:00:11,00:00:29,300,725,2022-07-22 17:20:07,kenraprofessional,"@Olivia preps for a luscious blowout look using #kenra Blow-Dry Spray, Pearl Detangler & Volume Spray 25 #kenraprofessional #kenrapartner #hair #hairstyle #hairhacks #backtoschool #summerhairstyles",2043,1,63,0,2022-09-27 15:26:03.267,TikTok,2022
01GPKKZPAM68MQR5Y3YA1C5GWX,01GE2B9H11MAN7QBA157YHN1NJ,Kenra US,asian,FACE,0.873653,01GPKKZPAM9ECX7X3P37MDP5PA,https://www.tiktok.com/@kenraprofessional/video/7122999931878690094,j_l8kc8f4p2peu45lccf.fc0b0b8cf92ab10965a8e8b6280384f7bdac0b80.file_l8kcgm612hh3skcl48.S3_link_of_the_video.mp4,00:00:00,00:00:06,0,150,2022-07-22 01:17:41,kenraprofessional,Fav #kenra heat protectants: Blow-Dry Spray & Color Maintenance Thermal Spray 11  #kenraprofessional #ineedtofeelsomething #heatprotectant #hair #SplashSummerVibe,975,4,23,0,2022-09-27 15:26:03.500803,TikTok,2022
