tag_id,asset_id,brand_name,tag_name,tag_type,confidence,detection_id,video_url,download_link,start_time_stamp,end_time_stamp,start_frame,end_frame,publication_date,title,description,views,comments,likes,shares,created_at,social_media,publication_year
01GPKJAGJ0G9DVQ6TNBR24N82G,01GE2AVM8ZPPZ3WCTMEVT2YEPA,Living Proof US,white,FACE,0.863714,01GPKJAGJ02VJ97F517SGR1NC2,https://www.tiktok.com/@livingproofinc/video/7047901712547319045,j_l8kbvgtma8e10jk1q.c1adbffc1f20d6af576fad31898e0d37fdb7ba77.file_l8kc0kbi2imhqo4hst.S3_link_of_the_video.mp4,00:00:15,00:00:15,375,375,2021-12-31 16:18:13,livingproofinc,#NewYearsEve calls for major glam  say goodbye to 2021 and hello to 2022 with this curly #hairstyle! #livingproofinc #hairtok #curls #curlyhair,790,0,27,0,2022-09-27 15:13:31.614265,TikTok,2021
01GPKJAGJ10JPK2QF1AANYRXP7,01GE2AVM8ZPPZ3WCTMEVT2YEPA,Living Proof US,asian,FACE,0.874795,01GPKJAGJ1VK458GEN1MFT15KQ,https://www.tiktok.com/@livingproofinc/video/7047901712547319045,j_l8kbvgtma8e10jk1q.c1adbffc1f20d6af576fad31898e0d37fdb7ba77.file_l8kc0kbi2imhqo4hst.S3_link_of_the_video.mp4,00:00:19,00:00:19,475,475,2021-12-31 16:18:13,livingproofinc,#NewYearsEve calls for major glam  say goodbye to 2021 and hello to 2022 with this curly #hairstyle! #livingproofinc #hairtok #curls #curlyhair,790,0,27,0,2022-09-27 15:13:31.614265,TikTok,2021
01GPKJAGJ135FDEXQVATEHNSXA,01GE2AVM8ZPPZ3WCTMEVT2YEPA,Living Proof US,latino,FACE,0.90611,01GPKJAGJ1YY4Y7S12YJE4G9WG,https://www.tiktok.com/@livingproofinc/video/7047901712547319045,j_l8kbvgtma8e10jk1q.c1adbffc1f20d6af576fad31898e0d37fdb7ba77.file_l8kc0kbi2imhqo4hst.S3_link_of_the_video.mp4,00:00:20,00:00:28,500,700,2021-12-31 16:18:13,livingproofinc,#NewYearsEve calls for major glam  say goodbye to 2021 and hello to 2022 with this curly #hairstyle! #livingproofinc #hairtok #curls #curlyhair,790,0,27,0,2022-09-27 15:13:31.614265,TikTok,2021
01GPKJAET8MY8JEYAMJA5S1A1T,01GE2AVM96YK33KAZG28QYDJTB,Living Proof US,middle eastern,FACE,0.878728,01GPKJAET85TW1HTA78PCZCHFC,https://www.tiktok.com/@livingproofinc/video/7046455611214580997,j_l8kbvgtma8e10jk1q.297e32ab4227d6b1025338053c47fe9eb071fb8e.file_l8kc0puvzoqe15i6b.S3_link_of_the_video.mp4,00:00:15,00:00:15,375,375,2021-12-27 18:46:36,livingproofinc,And just like that... frizz vanishes  shop the No Frizz Vanishing Oil at the link in our bio   @shannonlukee #livingproofinc #hair #nofrizz,1150,0,24,0,2022-09-27 15:13:31.892421,TikTok,2021
01GPKJAET8SSGKDYWTR7363EMH,01GE2AVM96YK33KAZG28QYDJTB,Living Proof US,white,FACE,0.878803,01GPKJAET8B6HYFRY2HQAWNX7S,https://www.tiktok.com/@livingproofinc/video/7046455611214580997,j_l8kbvgtma8e10jk1q.297e32ab4227d6b1025338053c47fe9eb071fb8e.file_l8kc0puvzoqe15i6b.S3_link_of_the_video.mp4,00:00:14,00:00:14,350,350,2021-12-27 18:46:36,livingproofinc,And just like that... frizz vanishes  shop the No Frizz Vanishing Oil at the link in our bio   @shannonlukee #livingproofinc #hair #nofrizz,1150,0,24,0,2022-09-27 15:13:31.892421,TikTok,2021
01GPKJANE7P22TTXZHPN10DVEV,01GE2AVM9AFF89DAAX68TSZD33,Living Proof US,asian,FACE,0.868247,01GPKJANE72WYFAHS66YE7P9EX,https://www.tiktok.com/@livingproofinc/video/7044576346558811398,j_l8kbvgtma8e10jk1q.ee3fc45376c2920891ed89611c17c10e3817b6fd.file_l8kc06cyx4jfu7t6t.S3_link_of_the_video.mp4,00:00:03,00:00:03,75,75,2021-12-22 17:14:06,livingproofinc,Last minute gift idea   our Joy to Healthy hair kit  is still in stock at the link in our bio! : @Em #livingproofinc  #holiday #giftideas,511,1,16,1,2022-09-27 15:13:32.018017,TikTok,2021
01GPKJB1KRQ433D637AWDJ9DVK,01GE2AVM9NF9F8XDKHAGV51BGD,Living Proof US,black,FACE,0.853979,01GPKJB1KRGF8W851HQRYDM8PZ,https://www.tiktok.com/@livingproofinc/video/7041254430578101510,j_l8kbvgtma8e10jk1q.17985f33e42ad4b4c0098a75a19d3254bb07e235.file_l8kc0afnu8mml2n1p.S3_link_of_the_video.mp4,00:00:00,00:00:26,0,675,2021-12-13 18:23:22,livingproofinc,Give the gift of healthy hair  @Skye uses our Joy to Strong Hair kit for her Mom + Me healthy hair routine  #livingproofinc #hairstyle,440,1,26,0,2022-09-27 15:13:32.598289,TikTok,2021
01GPKJAW8635MCRWP08GYX2160,01GE2AVM9TX777C9TNCZKR0WM2,Living Proof US,asian,FACE,0.862133,01GPKJAW8615FV2YA32EF9DSPN,https://www.tiktok.com/@livingproofinc/video/7040146173792947461,j_l8kbvgtma8e10jk1q.69ab7d6bf7cd5f7355f21ce71033fa813afcd70d.file_l8kbzw5a2qpi1ora4t.S3_link_of_the_video.mp4,00:00:07,00:00:12,175,300,2021-12-10 18:42:46,livingproofinc,3 easy go-to  #hairstyles by @maybeitswavybaby  using the Curl Enhancer + Moisturizing Shine Oil  #livingproofinc,566,0,22,0,2022-09-27 15:13:32.757733,TikTok,2021
01GPKJAZYVH2YGGMVEYNPXD0EG,01GE2AVM9XTVYHDE55CX6HC8T6,Living Proof US,black,FACE,0.885548,01GPKJAZYVFFYRX0RTR3YGND2X,https://www.tiktok.com/@livingproofinc/video/7039750677580483846,j_l8kbvgtma8e10jk1q.13c2fa59f9061ed194ea8c31dbaf7d0e423fb480.file_l8kc0z337tk3xkpsx.S3_link_of_the_video.mp4,00:00:10,00:00:36,250,900,2021-12-09 17:08:02,livingproofinc,Follow these 3 steps from @simedarjackson to live out your curly girl dream using 3 #livingproofinc Curl products ,407,1,16,0,2022-09-27 15:13:32.877644,TikTok,2021
01GPKJAY7KCYXW3NN0NSBX7A7A,01GE2AVM9Z52VNRFGZKJ9H8REC,Living Proof US,white,FACE,0.855435,01GPKJAY7K1C8RVK7C3R6GSMZ0,https://www.tiktok.com/@livingproofinc/video/7039346888470056198,j_l8kbvgtma8e10jk1q.e2753e40b5942a27d2e186820b40a20ab83ba835.file_l8kbzpvi29sz5sho2k.S3_link_of_the_video.mp4,00:00:00,00:00:23,0,575,2021-12-08 15:01:08,livingproofinc,"Don't just take it from us, take it from @Erin Dugan Jurchak   Shop Advanced Clean Dry Shampoo at the link in our bio   #dryshampoo #livingproofinc",443,1,27,0,2022-09-27 15:13:33.032249,TikTok,2021
