,brand_name,likes,shares,comments
0,BOTTOM Pantene US,47511,1780,826
1,BOTTOM Herbal Essences Hair,1664,39,8
2,TOP Living Proof US,4354,117,110
3,TOP Briogeo US,80899,1602,3015
