brand_name,entropy_21,entropy_22,asset_id_22,asset_id_21
Head & Shoulders US,82,37,22,6
Fanola US,54,42,11,28
Herbal Essences Hair,52,53,5,8
Pantene US,14,56,34,14
Wella US,56,64,35,20
Kenra US,58,66,24,12
Elvive,73,68,8,11
Amika US,86,78,22,45
Clairol US,71,81,57,5
Native US,67,84,19,8
Briogeo US,90,85,92,51
Living Proof US,91,85,75,24
Paul Mitchell US,79,86,20,27
Aussie Hair US,58,87,32,5
OLAPLEX US,85,88,117,91
Moroccanoil,80,91,52,38
Dove Hair US,74,94,14,5
